individual_punho,ambos_punhos_pes,instructions1,instructions2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,imageryTrials.thisRepN,imageryTrials.thisTrialN,imageryTrials.thisN,imageryTrials.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcomeMessage.started,WelcomeScreen.stopped,blank200.started,textBlank200.started,blank200.stopped,StartScreen.started,textOrientationMessage.started,keyWelcome.started,StartScreen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,start.started,polygon_start.started,polygon_start.stopped,start.stopped,rest.started,textrest.started,polygon_rest.started,rest.stopped,task.started,polygonDE.started,image.started,task.stopped,participant,session,name,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.2239718000000721,0.2442178999999669,2.0128254000001107,,,,,,,,,,,,,,,,,,,,,,,999,001,,2024-04-23_09h36.04.683,Motor Imagery,2024.1.1,None,2024-04-23 09h36.29.350954 +0100,
,,,,,,,,,,,,,,,,,,,,,2.0128805999997894,2.0288900000000467,2.211713099999997,,,,,,,,,,,,,,,,,,,,999,001,,2024-04-23_09h36.04.683,Motor Imagery,2024.1.1,None,2024-04-23 09h36.29.350954 +0100,
Imagens/right.png,Imagens/up.png,"Vais fechar e abrir o punho direito ou esquerdo, mediante te apareça as setas "Direita" ou "Esquerda". Pressione a barra do ESPAÇO para começar.","Vais fechar e abrir ambos os punhos ou os pés, mediante te apareçam as setas "Para cima" ou "Para baixo", respetivamente. Pressione a barra do ESPAÇO para começar.",0,0,0,0,0,0,0,0,0,0,0,0,22.246400999999878,,,,,,,,2.2723714999997355,2.326967500000137,2.326967500000137,21.21841719999975,space,21.07349729999987,None,21.22146840000005,21.235263499999746,22.246400999999878,22.22216040000012,22.238294700000097,22.246400999999878,22.246400999999878,26.237565399999767,26.23758769999995,26.405617800000073,26.405617800000073,30.23746029999984,999,001,,2024-04-23_09h36.04.683,Motor Imagery,2024.1.1,None,2024-04-23 09h36.29.350954 +0100,
Imagens/left.png,Imagens/down.png,"Vais imaginar o movimento de fechar e abrir o punho direito ou esquerdo, mediante te apareça as setas "Direita" ou "Esquerda". Pressione a barra do ESPAÇO para começar.","Vais imaginar o movimento de fechar e abrir ambos os punhos ou os pés, mediante te apareçam "Para cima" ou "Para baixo", respetivamente.  Pressione a barra do ESPAÇO para começar.",0,0,0,0,0,0,0,0,0,1,1,1,30.253755400000045,,,,,,,,,,,,,,,,,,,30.237896600000113,30.253755400000045,30.253755400000045,34.23662469999999,34.23664899999994,34.44985080000015,34.44985080000015,38.23739239999986,999,001,,2024-04-23_09h36.04.683,Motor Imagery,2024.1.1,None,2024-04-23 09h36.29.350954 +0100,
Imagens/left.png,Imagens/down.png,"Vais imaginar o movimento de fechar e abrir o punho direito ou esquerdo, mediante te apareça as setas "Direita" ou "Esquerda". Pressione a barra do ESPAÇO para começar.","Vais imaginar o movimento de fechar e abrir ambos os punhos ou os pés, mediante te apareçam "Para cima" ou "Para baixo", respetivamente.  Pressione a barra do ESPAÇO para começar.",0,0,0,0,0,0,0,0,1,0,2,1,38.25240380000014,,,,,,,,,,,,,,,,,,,38.23800029999984,38.25240380000014,38.25240380000014,42.23565129999997,42.235698500000126,42.38298269999996,42.38298269999996,46.23607319999974,999,001,,2024-04-23_09h36.04.683,Motor Imagery,2024.1.1,None,2024-04-23 09h36.29.350954 +0100,
,,,,,,,,,,,,,,,,46.251583299999766,,,,,,,,,,,,,,,,,,,46.2366548,46.251583299999766,46.251583299999766,,,,,,,,,,,,,,
