-20737.032084	-13751.843721	-9129.570023	-11461.661632	-14629.306153	-18499.957740	-13467.037793	-33906.612862	-12259.127171	-5692.542278	-8680.702291	-5546.786552	-6263.383480	-10732.793597	-7894.166755	-6361.373527	73.000000
-20121.509745	-13055.676288	-8374.371633	-10801.122880	-13834.969859	-17866.375192	-12793.311512	-33271.733912	-23174.400410	-10217.183556	-16013.795556	-9737.157492	-11214.160766	-20115.497126	-14516.452195	-11342.079799	71.500000
-21447.638744	-14352.882129	-9452.239806	-12086.974035	-15030.721132	-19184.524618	-14075.742850	-34608.189417	-24194.243454	-10761.448534	-17062.382944	-10812.522270	-12173.028251	-21157.826025	-15356.162531	-12459.667022	71.000000
-19942.718141	-12984.933017	-8468.427774	-10671.281597	-13917.179575	-17731.795339	-12698.875391	-33135.924713	-23971.865949	-10937.535577	-16808.668293	-10536.187653	-11975.438830	-20913.990845	-15290.291940	-12144.306260	72.000000
-21052.526957	-13908.909429	-8968.637463	-11677.154801	-14536.009972	-18784.920130	-13668.874045	-34214.284624	-23316.646912	-10123.753264	-16179.667852	-9915.233840	-11340.090494	-20279.469523	-14580.713461	-11540.652697	71.000000
-20761.484893	-13780.811582	-9162.382384	-11478.939531	-14660.039802	-18534.893517	-13490.909456	-33942.174487	-24658.735056	-11334.659020	-17516.346874	-11262.731107	-12641.543167	-21618.942513	-15862.876578	-12892.061519	70.500000
-20114.804222	-13056.212730	-8374.170467	-10789.231752	-13842.591803	-17869.124457	-12795.524334	-33278.752360	-23196.416878	-10229.141740	-16039.723580	-9761.006804	-11229.158786	-20143.615621	-14543.520158	-11352.629823	72.500000
-21471.063372	-14369.087144	-9466.500219	-12118.489995	-15045.875614	-19201.757813	-14109.270466	-34630.004719	-24203.720594	-10780.380461	-17077.850351	-10824.055770	-12193.860077	-21177.026174	-15368.970080	-12462.751563	72.000000
-19973.295328	-13000.847459	-8496.412158	-10699.668312	-13925.516775	-17749.833196	-12709.581877	-33136.751728	-23991.490780	-10971.957263	-16831.824700	-10558.025307	-12011.156918	-20939.695351	-15313.627161	-12163.439353	74.000000
-21037.171309	-13896.772432	-8966.782268	-11657.261748	-14517.681541	-18768.379839	-13650.880891	-34192.044639	-23310.097851	-10107.123567	-16161.540587	-9901.196945	-11315.972962	-20257.408352	-14563.189693	-11500.486612	73.500000
-20751.739532	-13777.235303	-9158.448477	-11469.305929	-14652.373153	-18534.781758	-13486.349700	-33936.318330	-24644.698160	-11326.321820	-17502.891124	-11242.502778	-12634.927050	-21603.564513	-15840.122502	-12873.263702	72.000000
-20100.476754	-13046.467369	-8373.455211	-10773.652586	-13834.656934	-17860.206111	-12783.789669	-33265.184851	-23193.734669	-10219.016399	-16033.040408	-9753.027231	-11215.099539	-20135.300772	-14536.859338	-11357.100172	73.000000
-21469.521102	-14372.708127	-9473.965701	-12107.358826	-15043.685143	-19210.474993	-14101.425004	-34629.512981	-24201.105440	-10773.741993	-17070.071944	-10821.217098	-12184.449993	-21165.582081	-15367.405458	-12460.516388	71.500000
-19947.657877	-12986.698805	-8487.247942	-10675.260207	-13910.585810	-17733.002333	-12690.985226	-33119.429126	-23993.927120	-10961.206074	-16827.577868	-10556.415982	-12001.165688	-20933.079235	-15310.654379	-12158.298452	72.500000
-21026.911858	-13879.405127	-8952.208931	-11645.661193	-14495.575666	-18744.083493	-13629.825548	-34165.043731	-23276.637289	-10093.041968	-16131.522194	-9865.590616	-11294.247066	-20228.753415	-14532.858376	-11481.755851	73.000000
-20751.516015	-13781.482134	-9166.204532	-11460.678156	-14648.483950	-18534.558241	-13475.129125	-33929.970435	-24638.082044	-11305.288828	-17491.022347	-11236.154882	-12615.928068	-21592.366289	-15832.791130	-12870.357975	73.000000
-20075.286338	-13018.639448	-8355.104429	-10746.226996	-13806.337274	-17832.579354	-12756.274671	-33229.287950	-23179.720125	-10206.588829	-16014.555516	-9735.905795	-11204.147184	-20118.849888	-14520.430806	-11352.316898	70.500000
